id,data,topic,country,language
1,"{""question"": ""Движение запрещено:"", ""options"": [""Красному и белому автомобилям."", ""Синему, зеленому и белому автомобилям."", ""Белому, синему и желтому автомобилям.""], ""correct_index"": 1, ""question_image"": ""https://github.com/vladfediushin/driving-assets/blob/main/Armenia/6/images/1.jpg""}","Группа № 6. Перекресток (регулируемый, светофор)",am,ru
2,"{""question"": ""Кто из водителей имеет право двигаться в прямом направлении?"", ""options"": [""Водители автобуса и мотоцикла."", ""Водители легкового и грузового автомобилей."", ""Водитель легкового автомобиля.""], ""correct_index"": 2, ""question_image"": ""https://github.com/vladfediushin/driving-assets/blob/main/Armenia/6/images/2.jpg""}","Группа № 6. Перекресток (регулируемый, светофор)",am,ru
3,"{""question"": ""Водитель какого транспортного средства должен уступить дорогу?"", ""options"": [""Водитель автомобиля."", ""Водитель трамвая.""], ""correct_index"": 1, ""question_image"": ""https://github.com/vladfediushin/driving-assets/blob/main/Armenia/6/images/3.jpg""}","Группа № 6. Перекресток (регулируемый, светофор)",am,ru
4,"{""question"": ""Если правая рука регулировщика вытянута вперед, то движение безрельсовым транспортным средствам разрешено:"", ""options"": [""Со стороны левого бока - налево и в обратном направлении."", ""Со стороны правого бока - только направо."", ""Со стороны левого бока - во всех направлениях."", ""Со спины - только направо.""], ""correct_index"": 2, ""question_image"": null}","Группа № 6. Перекресток (регулируемый, светофор)",am,ru
5,"{""question"": ""Транспортные средства проедут перекресток в следующем порядке:"", ""options"": [""Трамвай и автобус, легковой автомобиль."", ""Трамвай , легковой автомобиль, автобус."", ""Легковой автомобиль, трамвай и автобус.""], ""correct_index"": 2, ""question_image"": ""https://github.com/vladfediushin/driving-assets/blob/main/Armenia/6/images/4.jpg""}","Группа № 6. Перекресток (регулируемый, светофор)",am,ru
6,"{""question"": ""В каком ответе правильно названы те транспортные средства, которым разрешено движение?"", ""options"": [""Мотоцикл."", ""Грузовой автомобиль."", ""Автобус."", ""Легковой автомобиль."", ""Легковой и грузовой автомобили.""], ""correct_index"": 3, ""question_image"": ""https://github.com/vladfediushin/driving-assets/blob/main/Armenia/6/images/5.jpg""}","Группа № 6. Перекресток (регулируемый, светофор)",am,ru
7,"{""question"": ""Водитель какого транспортного средства должен уступить дорогу?"", ""options"": [""Водитель мотоцикла."", ""Водитель автомобиля.""], ""correct_index"": 1, ""question_image"": ""https://github.com/vladfediushin/driving-assets/blob/main/Armenia/6/images/6.jpg""}","Группа № 6. Перекресток (регулируемый, светофор)",am,ru
8,"{""question"": ""Этот сигнал регулировщика означает, что:"", ""options"": [""Разрешено движение синему, зеленому автомобилям. Запрещено красному, желтому, белому."", ""Разрешено движение синему, красному, зеленому автомобилям. Запрещено желтому, белому.""], ""correct_index"": 1, ""question_image"": ""https://github.com/vladfediushin/driving-assets/blob/main/Armenia/6/images/7.jpg""}","Группа № 6. Перекресток (регулируемый, светофор)",am,ru
9,"{""question"": ""Каким транспортным средствам разрешается повернуть направо?"", ""options"": [""Только красному автомобилю."", ""Всем транспортным средствам."", ""Красному и зеленому автомобилям.""], ""correct_index"": 2, ""question_image"": ""https://github.com/vladfediushin/driving-assets/blob/main/Armenia/6/images/8.jpg""}","Группа № 6. Перекресток (регулируемый, светофор)",am,ru
10,"{""question"": ""Движение разрешено:"", ""options"": [""Прямо."", ""Направо в первый проезд."", ""Направо во второй проезд."", ""Направо в первый и второй проезды.""], ""correct_index"": 1, ""question_image"": ""https://github.com/vladfediushin/driving-assets/blob/main/Armenia/6/images/9.jpg""}","Группа № 6. Перекресток (регулируемый, светофор)",am,ru
