id,data,topic,country,language
1,"{""question"": ""Во время движения водитель внезапно начинает жаловаться на сильную давящую боль в грудной клетке и затруднённое дыхание. Как надо поступить?"", ""options"": [""Предложить ему обратиться в ближайшую больницу"", ""Дать ему 2 таблетки валерианы и стакан воды"", ""Предложить незамедлительно остановить транспортное средство и включить аварийную сигнализацию"", ""Посоветовать ему пройтись и подышать свежим воздухом""], ""correct_index"": 2, ""question_image"": null}",Группа № 10. Безопасность жизни участников дорожного движения,am,ru
2,"{""question"": ""Как надо оказывать помощь пострадавшему при судорожном припадке?"", ""options"": [""Удерживать пострадавшего, стараясь ослабить судороги"", ""Попытаться раскрыть рот и удерживая язык, вложить какой- нибудь предмет между зубов"", ""Попытаться освободить дыхательные пути, приподняв голову пострадавшего"", ""Не дотрагиваться до пострадавшего, подождать пока судороги не прекратятся""], ""correct_index"": 3, ""question_image"": null}",Группа № 10. Безопасность жизни участников дорожного движения,am,ru
3,"{""question"": ""Как надо поступить оказывая помощь при ожогах?"", ""options"": [""Оставить место ожога открытым"", ""Вскрыть волдыри с жидкостью, после чего туго перевязать"", ""Смазать место ожога растительным маслом"", ""Охладить место ожога водой, после чего накрыть стерильной перевязочной материей или чистой тканью""], ""correct_index"": 3, ""question_image"": null}",Группа № 10. Безопасность жизни участников дорожного движения,am,ru
4,"{""question"": ""Попав в аварию, пешеход сломал руку. На предплечье имеется рана (около 5 см), из которой непрерывно вытекает кровь темного цвета. Что надо предпринять для остановки кровотечения?"", ""options"": [""Промыть рану водой"", ""Приподнять руку пострадавшего и наложить тугую повязку"", ""Рану смазать спиртовым раствором йода""], ""correct_index"": 1, ""question_image"": null}",Группа № 10. Безопасность жизни участников дорожного движения,am,ru
5,"{""question"": ""Оказывая помощь при закрытых травмах мягких тканей конечностей, в первую очередь следует:"", ""options"": [""Наложить на рану тёплую примочку"", ""Наложить на рану холодную примочку и приподнять"", ""Наложить на рану холодную примочку и удерживать конечность ниже уровня сердца"", ""Наложить на рану спиртовую примочку""], ""correct_index"": 1, ""question_image"": null}",Группа № 10. Безопасность жизни участников дорожного движения,am,ru
6,"{""question"": ""Водитель продолжительное время, сидя на корточках, заменял колесо автомобиля . Резко привстав, хватается за голову и потеряв сознание, падает. Как следует поступить?"", ""options"": [""Попытаться посадить его"", ""Приподнять ноги"", ""Обрызгать лицо холодной водой"", ""Дать пощечину""], ""correct_index"": 1, ""question_image"": null}",Группа № 10. Безопасность жизни участников дорожного движения,am,ru
7,"{""question"": ""Как следует поступить, если невозможно обеспечить безопасность на месте происшествия?"", ""options"": [""Соблюдая осторожность, оказать помощь всем пострадавшим"", ""Оказать помощь пострадавшему, находящемуся к Вам ближе всех"", ""Не подходить, немедленно сообщить о случившемся и не разрешать так же посторонним лицам подходить к месту происшествия"", ""Не подходить к месту происшествия, попросить других лиц оказать помощь пострадавшим""], ""correct_index"": 2, ""question_image"": null}",Группа № 10. Безопасность жизни участников дорожного движения,am,ru
8,"{""question"": ""Вы увидели лежащего на земле человека и заметили кровь и кость, торчащую из голени. Что надо предпринять в первуя очередь?"", ""options"": [""Вызвать скорую помощь"", ""Проверить находиться ли пострадавший в сознании и наличие дыхания"", ""Обездвижить ногу""], ""correct_index"": 1, ""question_image"": null}",Группа № 10. Безопасность жизни участников дорожного движения,am,ru
9,"{""question"": ""Оказывая помощь пострадавшему при открытом переломе конечности, необходимо:"", ""options"": [""Немедленно приподнять травмированную конечность пострадавшего"", ""Накрыть рану стерильной салфеткой и обездвижить травмированную конечность"", ""Надавив, остановить кровотечение"", ""Наложить на рану холодную примочку""], ""correct_index"": 1, ""question_image"": null}",Группа № 10. Безопасность жизни участников дорожного движения,am,ru
10,"{""question"": ""При травме грудной клетки необходимо:"", ""options"": [""Уложить пострадавшего в горизонтальном положении"", ""Посадить, подперев его с травмированной стороны"", ""Посадить, подперев его со здоровой стороны""], ""correct_index"": 1, ""question_image"": null}",Группа № 10. Безопасность жизни участников дорожного движения,am,ru
