id,data,topic,country,language
1,"{""question"": ""C какой максимальной скоростью разрешается движение легковых автомобилей на дорогах вне населенных пунктов?"", ""options"": [""110 кмч"", ""100 кмч."", ""90 кмч."", ""80 кмч."", ""70 кмч.""], ""correct_index"": 2, ""question_image"": null}","Группа № 8. Скорость, буксировка, перевозка людей и грузов",am,ru
2,"{""question"": ""При перевозке людей в оборудованном кузове грузового автомобиля движение разрешается со скоростью не более:"", ""options"": [""60 кмч."", ""70 кмч."", ""80 кмч.""], ""correct_index"": 0, ""question_image"": null}","Группа № 8. Скорость, буксировка, перевозка людей и грузов",am,ru
3,"{""question"": ""На каком расстоянии до начала опасного участка устанавливается этот предупреждающий знак вне населенных пунктов?"", ""options"": [""50-100 м."", ""150-300 м."", ""300-500 м.""], ""correct_index"": 1, ""question_image"": ""https://github.com/vladfediushin/driving-assets/blob/main/Armenia/8/images/3.jpg""}","Группа № 8. Скорость, буксировка, перевозка людей и грузов",am,ru
4,"{""question"": ""Движение транспортных средств, перевозящих организованные группы детей, разрешается со скоростью:"", ""options"": [""Не более 60 кмч."", ""Не более 70 кмч."", ""Не более 80 кмч.""], ""correct_index"": 0, ""question_image"": null}","Группа № 8. Скорость, буксировка, перевозка людей и грузов",am,ru
5,"{""question"": ""Движение транспортных средств в населенных пунктах разрешается со скоростью:"", ""options"": [""Не более 60 кмч."", ""Не более 80 кмч."", ""Не более 90 кмч.""], ""correct_index"": 0, ""question_image"": null}","Группа № 8. Скорость, буксировка, перевозка людей и грузов",am,ru
6,"{""question"": ""В каком направлении разрешено движение?"", ""options"": [""Только прямо."", ""Прямо и направо."", ""Прямо, направо и налево."", ""Во всех направлениях.""], ""correct_index"": 2, ""question_image"": ""https://github.com/vladfediushin/driving-assets/blob/main/Armenia/8/images/6.jpg""}","Группа № 8. Скорость, буксировка, перевозка людей и грузов",am,ru
7,"{""question"": ""Движение междугородних автобусов вне населенных пунктов разрешается со скоростью:"", ""options"": [""Не более 70 кмч."", ""Не более 90 кмч."", ""Не более 110 кмч.""], ""correct_index"": 1, ""question_image"": null}","Группа № 8. Скорость, буксировка, перевозка людей и грузов",am,ru
8,"{""question"": ""Движение грузовых автомобилей с разрешенной максимальной массой не более 3,5 т вне населенных пунктов разрешается со скоростью:"", ""options"": [""Не более 90 кмч."", ""Не более 70 кмч."", ""Не более 80 кмч.""], ""correct_index"": 0, ""question_image"": null}","Группа № 8. Скорость, буксировка, перевозка людей и грузов",am,ru
9,"{""question"": ""Разрешается ли в населенных пунктах водителям междугороднего, межобластного и пригородного автобусов превышать скорость 60 кмч?"", ""options"": [""Разрешается, только при движении по дороге, имеющей две и более полосы для движения в данном направлении."", ""Разрешается."", ""Запрещается.""], ""correct_index"": 2, ""question_image"": null}","Группа № 8. Скорость, буксировка, перевозка людей и грузов",am,ru
10,"{""question"": ""Разрешается ли вне населенных пунктов водителю междугороднего автобуса превышать скорость 70 кмч?"", ""options"": [""Разрешается, только при движении по дороге, имеющей две и более полосы для движения в данном направлении."", ""Разрешается."", ""Запрещается.""], ""correct_index"": 1, ""question_image"": null}","Группа № 8. Скорость, буксировка, перевозка людей и грузов",am,ru
11,"{""question"": ""Во время буксировки, при отсутствии или неисправности аварийной световой сигнализации, знак „Аварийная остановка“ устанавливается:"", ""options"": [""На задней части буксируемого транспортного средства."", ""В передней части буксирующего транспортного средства."", ""По усмотрению водителя, на видном месте одного из транспортных средств.""], ""correct_index"": 0, ""question_image"": null}","Группа № 8. Скорость, буксировка, перевозка людей и грузов",am,ru
12,"{""question"": ""При буксировке на жесткой сцепке расстояние между транспортными средствами не должно превышать:"", ""options"": [""2 м."", ""3 м."", ""4 м."", ""5 м."", ""6 м.""], ""correct_index"": 2, ""question_image"": null}","Группа № 8. Скорость, буксировка, перевозка людей и грузов",am,ru
13,"{""question"": ""Разрешается ли перевозка людей в кузове грузового автомобиля при буксировке на жесткой или гибкой сцепке?"", ""options"": [""Разрешается в кузовах буксирующего и буксируемого автомобилей."", ""Разрешается только в кузове буксируемого автомобиля."", ""Разрешается только в кузове буксирующего автомобиля."", ""Запрещается в кузовах обоих автомобилей.""], ""correct_index"": 2, ""question_image"": null}","Группа № 8. Скорость, буксировка, перевозка людей и грузов",am,ru
14,"{""question"": ""Разрешается ли перевозка людей в буксируемом автомобиле?"", ""options"": [""Разрешается в автобусе."", ""Разрешается в легковом автомобиле."", ""Разрешается в кузове грузового автомобиля при буксировке на жесткой сцепке.""], ""correct_index"": 1, ""question_image"": null}","Группа № 8. Скорость, буксировка, перевозка людей и грузов",am,ru
15,"{""question"": ""С какой максимальной скоростью разрешается буксировка транспортных средств?"", ""options"": [""30 кмч."", ""40 кмч."", ""50 кмч."", ""60 кмч."", ""70 кмч.""], ""correct_index"": 2, ""question_image"": null}","Группа № 8. Скорость, буксировка, перевозка людей и грузов",am,ru
16,"{""question"": ""Буксировка в условиях гололедицы запрещается:"", ""options"": [""На гибкой сцепке."", ""На жесткой сцепке."", ""Путем частичной погрузки.""], ""correct_index"": 0, ""question_image"": null}","Группа № 8. Скорость, буксировка, перевозка людей и грузов",am,ru
17,"{""question"": ""С какой максимальной скоростью может осуществляться буксировка в данных условиях?"", ""options"": [""30 кмч."", ""50 кмч."", ""70 кмч."", ""80 кмч.""], ""correct_index"": 1, ""question_image"": ""https://github.com/vladfediushin/driving-assets/blob/main/Armenia/8/images/17.jpg""}","Группа № 8. Скорость, буксировка, перевозка людей и грузов",am,ru
18,"{""question"": ""Разрешается ли перевозить людей при буксировке на гибкой или жесткой сцепке в буксируемом механическом транспортном средстве?"", ""options"": [""Разрешается в автобусе и троллейбусе."", ""Разрешается только в легковом автомобиле."", ""Разрешается в кузове грузового автомобиля и в легковом автомобиле."", ""Разрешается в кабине грузового автомобиля и в легковом автомобиле."", ""Запрещается.""], ""correct_index"": 3, ""question_image"": null}","Группа № 8. Скорость, буксировка, перевозка людей и грузов",am,ru
19,"{""question"": ""Буксировка в условиях гололедицы:"", ""options"": [""Запрещается."", ""Разрешается."", ""Разрешается при буксировке на жесткой сцепке или путем частичной погрузки.""], ""correct_index"": 2, ""question_image"": null}","Группа № 8. Скорость, буксировка, перевозка людей и грузов",am,ru
20,"{""question"": ""С какой максимальной скоростью разрешается буксировка транспортных средств на гибкой сцепке?"", ""options"": [""70 кмч."", ""60 кмч."", ""50 кмч."", ""40 кмч."", ""30 кмч.""], ""correct_index"": 2, ""question_image"": null}","Группа № 8. Скорость, буксировка, перевозка людей и грузов",am,ru
21,"{""question"": ""В каких случаях запрещена буксировка?"", ""options"": [""В гололедицу на жесткой сцепке."", ""В гололедицу на гибкой сцепке."", ""Мотоциклами с боковым прицепом.""], ""correct_index"": 1, ""question_image"": null}","Группа № 8. Скорость, буксировка, перевозка людей и грузов",am,ru
22,"{""question"": ""При буксировке механических транспортных средств вне населенных пунктов скорость движения не должна превышать:"", ""options"": [""30 кмч."", ""40 кмч."", ""50 кмч."", ""60 кмч."", ""70 кмч.""], ""correct_index"": 2, ""question_image"": null}","Группа № 8. Скорость, буксировка, перевозка людей и грузов",am,ru
23,"{""question"": ""Разрешается ли буксировка мотоциклов?"", ""options"": [""Разрешается-мотоциклов с боковым прицепом."", ""Разрешается-мотоциклов без бокового прицепа."", ""Разрешается в обоих случаях.""], ""correct_index"": 0, ""question_image"": null}","Группа № 8. Скорость, буксировка, перевозка людей и грузов",am,ru
24,"{""question"": ""При буксировке какое расстояние между транспортными средствами должна обеспечить гибкая сцепка?"", ""options"": [""1-3 м."", ""2-4 м."", ""3-6 м."", ""4-6 м."", ""4-8 м.""], ""correct_index"": 3, ""question_image"": null}","Группа № 8. Скорость, буксировка, перевозка людей и грузов",am,ru
25,"{""question"": ""C какой максимальной скоростью допускается движение легковых автомобилей с прицепом по автомагистралям?"", ""options"": [""110 кмч."", ""100 кмч."", ""90 кмч."", ""80 кмч."", ""70 кмч.""], ""correct_index"": 2, ""question_image"": null}","Группа № 8. Скорость, буксировка, перевозка людей и грузов",am,ru
26,"{""question"": ""При буксировке на жесткой сцепке расстояние между транспортными средствами должно быть не более:"", ""options"": [""4 м."", ""5 м."", ""6 м.""], ""correct_index"": 0, ""question_image"": null}","Группа № 8. Скорость, буксировка, перевозка людей и грузов",am,ru
27,"{""question"": ""При буксировке путем частичной погрузки разрешается перевозка пассажиров:"", ""options"": [""В кузове буксирующего автомобиля."", ""В кабине буксируемого автомобиля."", ""В кузове буксируемого автомобиля."", ""В кабине буксирующего автомобиля.""], ""correct_index"": 3, ""question_image"": null}","Группа № 8. Скорость, буксировка, перевозка людей и грузов",am,ru
28,"{""question"": ""Разрешается ли буксировка мотоциклов с боковым прицепом?"", ""options"": [""Разрешается — только на жесткой сцепке."", ""Запрещается."", ""Разрешается.""], ""correct_index"": 2, ""question_image"": null}","Группа № 8. Скорость, буксировка, перевозка людей и грузов",am,ru
29,"{""question"": ""C какой максимальной скоростью разрешено движение при буксировке на гибкой сцепке?"", ""options"": [""70 кмч."", ""60 кмч."", ""50 кмч."", ""400 кмч."", ""30 кмч.""], ""correct_index"": 2, ""question_image"": null}","Группа № 8. Скорость, буксировка, перевозка людей и грузов",am,ru
30,"{""question"": ""Груз размещается и при необходимости закрепляется на транспортном средстве так, чтобы он:"", ""options"": [""Не выступал выше бортов платформы."", ""Не создавал шума, не поднимал пыли и не загрязнял окружающую среду."", ""Не выступал за габариты транспортного средства сзади более чем на 0.8 м.""], ""correct_index"": 1, ""question_image"": null}","Группа № 8. Скорость, буксировка, перевозка людей и грузов",am,ru
