id,data,topic,country,language
1,"{""question"": ""В каком случае Правила не требуют подачи предупредительного сигнала?"", ""options"": [""Перед остановкой у края проезжей части."", ""Перед закруглением дороги, обозначенной знаком ,,Опасный поворот\""."", ""Перед перестроением на соседнюю полосу движения.""], ""correct_index"": 1, ""question_image"": null}","Группа № 9. Предупредительные сигналы, специальные сигналы",am,ru
2,"{""question"": ""Когда должен быть подан предупредительный сигнал перед перестроением?"", ""options"": [""Непосредственно перед началом выполнения маневра."", ""Сразу после начала выполнения маневра."", ""Заблаговременно до начала выполнения маневра.""], ""correct_index"": 2, ""question_image"": null}","Группа № 9. Предупредительные сигналы, специальные сигналы",am,ru
3,"{""question"": ""Перед маневром предупредительный сигнал должен быть подан:"", ""options"": [""Непосредственно перед началом выполнения маневра."", ""Одновременно с началом выполнения маневра."", ""Заблаговременно, до начала выполнения маневра.""], ""correct_index"": 2, ""question_image"": null}","Группа № 9. Предупредительные сигналы, специальные сигналы",am,ru
4,"{""question"": ""Подача водителем предупредительного сигнала рукой прекращается:"", ""options"": [""Непосредственно перед началом выполнения маневра."", ""Непосредственно после завершения выполнения маневра."", ""Во время выполнения маневра.""], ""correct_index"": 0, ""question_image"": null}","Группа № 9. Предупредительные сигналы, специальные сигналы",am,ru
5,"{""question"": ""Когда водитель обязан подавать предупредительный сигнал перед остановкой?"", ""options"": [""Только в случае, если сзади него движется другое транспортное средство."", ""Только в населенных пунктах."", ""Во всех случаях.""], ""correct_index"": 2, ""question_image"": null}","Группа № 9. Предупредительные сигналы, специальные сигналы",am,ru
6,"{""question"": ""Какие сигналы общей тревоги обязан подавать водитель звуковыми сигналами при вынужденной остановке транспортного средства на железнодорожном переезде?"", ""options"": [""Три длинных и один короткий."", ""Один длинный и три коротких."", ""Один длинный и два коротких.""], ""correct_index"": 1, ""question_image"": null}","Группа № 9. Предупредительные сигналы, специальные сигналы",am,ru
7,"{""question"": ""При отсутствии или неисправности светового указателя поворота подача предупредительного сигнала рукой прекращается:"", ""options"": [""Непосредственно перед выполнением маневра."", ""Незамедлительно после завершения маневра."", ""Во время выполнения маневра.""], ""correct_index"": 0, ""question_image"": null}","Группа № 9. Предупредительные сигналы, специальные сигналы",am,ru
8,"{""question"": ""Сигналом общей тревоги на железнодорожном переезде служат серии из:"", ""options"": [""Двух длинных и двух коротких сигналов."", ""Одного длинного и трех короткий сигналов."", ""Трех длинных и трех коротких сигналов."", ""Трех длинных и одного короткого сигнала.""], ""correct_index"": 1, ""question_image"": null}","Группа № 9. Предупредительные сигналы, специальные сигналы",am,ru
9,"{""question"": ""На каком рисунке водитель подает сигнал предупреждения о повороте налево:"", ""options"": [""1"", ""2"", ""3""], ""correct_index"": 0, ""question_image"": ""https://github.com/vladfediushin/driving-assets/blob/main/Armenia/9/images/9.jpg""}","Группа № 9. Предупредительные сигналы, специальные сигналы",am,ru
10,"{""question"": ""Приближаясь к стоящему транспортному средству с включенным проблесковым маячком красного цвета водители транспортных средств, движущихся в данном направлении, должны:"", ""options"": [""Остановиться и продолжить движение, лишь получив на это разрешение."", ""Снизить скорость, чтобы, при необходимости, иметь возможность незамедлительно остановиться.""], ""correct_index"": 0, ""question_image"": null}","Группа № 9. Предупредительные сигналы, специальные сигналы",am,ru
